0,1,2,3,4,5,6,7
0.98372686,0.99057466,0.9925533,0.9825539,0.99612373,0.9711056,0.9900393,0.9816144
0.96053714,0.9781732,0.9764193,0.986665,0.982137,0.99505544,0.9922236,0.9933587
0.9982874,0.99789256,0.997021,0.99687624,0.9982482,0.99721366,0.9985777,0.997931
0.99771404,0.99858654,0.9969369,0.9954275,0.9967525,0.9980398,0.9979227,0.9900621
0.9946622,0.98377407,0.98458904,0.98792356,0.9910178,0.9952049,0.98149455,0.9960167
0.98293567,0.9865449,0.98335373,0.9928503,0.9872307,0.97854054,0.9905814,0.99637055
0.99721354,0.9938075,0.99777716,0.99478096,0.9912059,0.9943218,0.988218,0.99809474
0.98870057,0.99061245,0.9805824,0.9672696,0.972719,0.95590234,0.9581582,0.9906222
0.9434956,0.9567275,0.9512208,0.9786758,0.9493519,0.9813782,0.93771666,0.95740277
0.9861347,0.99447435,0.97275275,0.9744717,0.9716394,0.9597752,0.997366,0.98614085
0.98313564,0.99015194,0.9799942,0.97197187,0.9706415,0.98125917,0.9864027,0.9534701
0.9854864,0.9958326,0.98945016,0.9733594,0.9938591,0.93647784,0.98607373,0.96590257
0.9945696,0.99705577,0.99852836,0.996092,0.9969982,0.9957312,0.995924,0.99721414
0.9974444,0.99872357,0.9962465,0.9849555,0.99525523,0.9960807,0.99444073,0.99009854
0.98362154,0.9775595,0.98831636,0.9987342,0.9850395,0.9906879,0.9783545,0.9977508
0.99170625,0.97480506,0.9804879,0.96890867,0.9394116,0.982854,0.9904936,0.94663167
0.9832907,0.98267776,0.980029,0.9669864,0.9936475,0.9672927,0.9753669,0.9832893
0.96744823,0.9815207,0.98418623,0.9939645,0.98962957,0.9971917,0.991871,0.99720925
0.9902547,0.9972319,0.99371463,0.97891974,0.98922414,0.9952642,0.99456847,0.97943395
0.9792641,0.9855546,0.98215723,0.93900156,0.9670236,0.9497405,0.9934282,0.98944026
0.9804468,0.99541676,0.99200976,0.9978829,0.9959133,0.9973494,0.9899815,0.9980977
0.96006924,0.8648103,0.9920191,0.96831346,0.9779789,0.9813597,0.983017,0.9345133
0.98396283,0.98351824,0.97955817,0.98729825,0.9480531,0.9954087,0.99271727,0.98036665
0.9891138,0.9792234,0.97497106,0.9931865,0.9788953,0.98789096,0.9608046,0.98748386
0.97140527,0.99703693,0.9865058,0.9884647,0.9835788,0.9807154,0.99653447,0.9866846
0.9780593,0.97032577,0.98324144,0.9629606,0.9613649,0.96021014,0.9837145,0.9617086
0.98643017,0.9865965,0.9751922,0.9694874,0.9790844,0.9813184,0.97254914,0.9631459
0.95866287,0.9698589,0.9612323,0.9779063,0.9900124,0.9868581,0.9527553,0.9838627
0.98027486,0.97840905,0.975809,0.97575754,0.97812784,0.97583735,0.9687292,0.9583065
0.9941596,0.9738269,0.9710561,0.988644,0.95493835,0.9150393,0.97279423,0.9442115
0.96648407,0.9642935,0.97217566,0.9664277,0.98901516,0.982988,0.9821691,0.97955906
0.99111056,0.9871704,0.9910821,0.9935348,0.98638505,0.97879785,0.979508,0.99824035
0.9958513,0.9936417,0.9915809,0.99475527,0.99838865,0.97735256,0.99615306,0.99567634
0.98325807,0.9759478,0.9648551,0.9787578,0.9965048,0.9856843,0.99635375,0.99304503
0.9953477,0.97467947,0.9764945,0.99095964,0.9765717,0.9448174,0.9962838,0.9933831
0.9857905,0.99056584,0.976454,0.9784922,0.97773224,0.9850172,0.99498713,0.9852513
0.9897737,0.991029,0.9739327,0.9774674,0.9719863,0.9901059,0.98933977,0.98651356
0.9863398,0.9784017,0.9835702,0.9805469,0.983158,0.9718784,0.98693097,0.9935016
0.9686044,0.973794,0.9528154,0.95038956,0.9550293,0.92802346,0.97071594,0.9412512
0.98148704,0.99506664,0.99069107,0.99687,0.99803644,0.9985227,0.99119216,0.9902699
0.9960128,0.98352516,0.98716545,0.99297523,0.992543,0.9838014,0.98752254,0.9799657
0.9326995,0.9355398,0.9408508,0.97702676,0.9906266,0.9457483,0.95429784,0.97124743
0.9328075,0.9321591,0.9236195,0.908707,0.8402936,0.8742479,0.91284615,0.8604952
0.9897989,0.9912862,0.9969214,0.99355114,0.99234384,0.99228984,0.9963258,0.99462515
0.99858785,0.9962075,0.99884284,0.99571973,0.9967744,0.9984977,0.99221015,0.99271494
0.97708833,0.9601345,0.9901149,0.981445,0.9616439,0.9750743,0.98903406,0.948261
0.99161595,0.97388566,0.98139405,0.9838972,0.97319937,0.9888799,0.99117976,0.98628265
0.99082464,0.99778545,0.9976572,0.99719524,0.9967449,0.9970505,0.99819934,0.9975508
0.97635615,0.9802572,0.96974975,0.9585103,0.95211756,0.98440796,0.9850337,0.9530625
0.9964737,0.99809736,0.99361825,0.97261703,0.99362165,0.9647092,0.98292,0.9664116
0.9947314,0.99748176,0.9978036,0.998423,0.9949356,0.99820817,0.9888664,0.9909978
0.9921262,0.9973845,0.99782443,0.9893505,0.9966241,0.9970728,0.9975866,0.98732156
0.98759925,0.98275834,0.9803592,0.9845145,0.9782412,0.9907742,0.9581675,0.9636709
0.9739647,0.9835682,0.98787165,0.9860848,0.98304707,0.99165326,0.97243935,0.9753342
0.9887256,0.9896159,0.98474044,0.9587776,0.9869466,0.93716216,0.9882161,0.99331176
0.96617,0.9876245,0.9650361,0.96087337,0.9886326,0.9692439,0.9525671,0.9635671
0.9985429,0.9916136,0.9982346,0.9969319,0.99786,0.9956447,0.9978346,0.9969964
0.9828445,0.986262,0.9966704,0.9539348,0.9954911,0.99261403,0.98531556,0.9869177
